id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,43073,TON,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,45341,TON,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8094,TON,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,48069,TON,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,58,TON,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,14340,TON,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,54145,TON,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,59066,TON,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10808,TON,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,48482,TON,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,69,TON,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,15201,TON,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20,TON,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,56597,TON,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,71801,TON,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14863,TON,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,48483,TON,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,69,TON,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,18527,TON,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,612,TON,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,56597,TON,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,57863,TON,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14863,TON,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,48485,TON,2019
